Core Grant Number,Reference,Team,Master Grant Type Name,Application Status,Start Date,End Date,Lead Applicant Full Name,Administering Organisation Country,Administering Organisation City,Administering Organisation Name,Title,Current Award Wellcome Value £ [LOD],Link Icon,Grant Tracker URL,Lead Applicant ORCID URL,Click for related links
003622,003622/Z/71/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1904,Dr J Ochoa,United Kingdom,London,University College London,TO WORK ON EXPERIMENTAL DEMYELINATION,"£24,660 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=FF26B1BC-3003-4538-B9AA-A4F2017B4BB6,,
004015,004015/Z/72/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1901,Dr B R Tulloch,United Kingdom,London,Imperial College London,TO STUDY ADIPOSE TISSUE METABOLISM IN DIABETES,"£9,864 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=96168AAD-B240-43F3-A8CF-A4F2017B5FF6,,
004106,004106/Z/72/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1904,Dr M J Campbell,United Kingdom,Tyne And Wear,Newcastle University,FOR A STUDY OF MOTOR NEURONE DISEASE IN ANIMALS AND IN MAN,"£24,660 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=F2637146-EFE9-464E-969E-A4F2017B6021,,
004238,004238/Z/72/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1901,Dr D C Evered,United Kingdom,Tyne And Wear,Newcastle University,FOR A RADIO IMMUNOSSAY STUDY OF THYROID HORMONES AND THEIR CLINICAL APPLICATIONS.,"£9,039 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=09062953-8625-4067-8233-A4F2017B68FE,,
004839,004839/Z/73/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1904,Dr D N H Hamilton,United Kingdom,Glasgow,University of Glasgow,TO STUDY HUMAN TUMOUR IMMUNOLOGY,"£26,475 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=1D892C45-DBF8-4F1A-8A40-A4F2017B7844,,
004846,004846/Z/73/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1904,Dr K J Fraser,Australia,Melbourne,University of Melbourne,TO STUDY SECRETORY IMMUNOGLOBULINS AND THE CONNECTIVE TISSUE DISEASES,"£31,266 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=52140C4B-B249-468A-9CEA-A4F2017B7A93,,
004888,004888/Z/73/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1902,Prof T J Peters,United Kingdom,London,King's College London,TO APPLY SUBCELLULAR FRACTIONATION TECHNIQUES TO THE STUDY OF CELL PATHOLOGY IN MAN,"£18,607 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=ADCC7B53-7531-4A37-BD9D-A4F2017B80C8,,
005261,005261/Z/74/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1900,Dr J C Marshall,United Kingdom,Birmingham,University of Birmingham,TO DEVELOP METHODS FOR THE MEASUREMENT OF PHYSIOLOGICAL AMOUNTS OF BIOLOGICALLY ACTIVE HYPOTHALAMIC RELEASING HORMONES IN BODY FLUIDS,"£5,519 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=09FD119D-77B3-47EB-8845-A4F2017B8607,,
005262,005262/Z/74/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1900,Prof J L Reid,United Kingdom,Glasgow,University of Glasgow,TO STUDY THE CENTRAL NERVOUS MECHANISMS IN THE CONTROL OF BLOOD PRESSURE AND TREATMENT OF HYPERTENSION,"£4,823 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=8E8E2F1F-90B1-4797-A993-A4F2017B867C,,
005288,005288/Z/74/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1904,#NAME?,United Kingdom,,Misc England,TO STUDY THE HAEMODYNAMIC ABNORMALITIES ASSOCIATED WITH MYO- CARDIAL ISCHAEMIA,"£26,435 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=B02CE6D0-3D26-4758-80BC-A4F2017B8D27,,
005732,005732/Z/75/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1901,Prof R H Greenwood,United Kingdom,Cardiff,Cardiff University,INVESTIGATE METHODS OF IMPROVING INSULIN SECRETION & CARBOHYD- RATE TOLERANCE IN PATIENTS SUFFERING WITH DIABETES.,"£11,760 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=A015866A-9D43-4472-922D-A4F2017BA1B2,,
005737,005737/Z/75/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1904,Prof John Fabre,United Kingdom,London,University College London,FOR STUDIES OF ALLOGRAFT REJECTION AND ITS SPECIFIC SUPPRESSION,"£28,361 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=AF5A8C6E-5D44-47FC-AE4A-A4F2017BA2E2,,
005921,005921/Z/75/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/01/1900,Prof C S Wilcox,United Kingdom,London,Imperial College London,TO UNDERTAKE RESEARCH INTO THE PHARMACOLOGY AND PHYSIOLOGY OF RENAL DISORDER,"£15,750 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=2DE60662-CC92-42CA-8BA7-A4F2017BA422,,
006204,006204/Z/76/Z,DIS - Discovery Researchers,Senior Research Fellowship Clinical,Funded Closed,01/01/1900,31/12/1900,Prof Sir Andrew Mcmichael,United Kingdom,Oxford,University of Oxford,TO STUDY THE GENETICS AND DISEASE ASSOCIATIONS OF THE MAJOR HISTOCOMPATIBILITY COMPLEX IN MAN,"£8,644 ",Link Icon,https://granttracker.wellcomeit.com/Console/Grants/Details.aspx?id=62B1AB66-4FE6-466C-85CB-A4F2017BAA81,https://orcid.org/0000-0002-9101-7478,
