sub_group_id,sub_group,super_group,dr_super_group
3001,Agricultural biotechnology,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3002,"Agriculture, land and farm management","AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3003,Animal production,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3004,Crop and pasture production,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3005,Fisheries sciences,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3006,Food sciences,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3007,Forestry sciences,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3008,Horticultural production,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3009,Veterinary sciences,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3099,"Other agricultural, veterinary and food sciences","AGRICULTURAL, VETERINARY AND FOOD SCIENCES",ENVIRONMENTAL SCIENCES
3101,Biochemistry and cell biology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3102,Bioinformatics and computational biology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3103,Ecology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3104,Evolutionary biology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3105,Genetics,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3106,Industrial biotechnology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3107,Microbiology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3108,Plant biology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3109,Zoology,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3199,Other biological sciences,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES
3201,Cardiovascular medicine and haematology,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3202,Clinical sciences,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3203,Dentistry,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3204,Immunology,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3205,Medical biochemistry and metabolomics,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3206,Medical biotechnology,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3207,Medical microbiology,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3208,Medical physiology,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3209,Neurosciences,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3210,Nutrition and dietetics,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3211,Oncology and carcinogenesis,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3212,Ophthalmology and optometry,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3213,Paediatrics,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3214,Pharmacology and pharmaceutical sciences,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3215,Reproductive medicine,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3299,Other biomedical and clinical sciences,BIOMEDICAL AND CLINICAL SCIENCES,CLINICAL SCIENCES
3301,Architecture,BUILT ENVIRONMENT AND DESIGN,BUILT ENVIRONMENT AND DESIGN
3302,Building,BUILT ENVIRONMENT AND DESIGN,BUILT ENVIRONMENT AND DESIGN
3303,Design,BUILT ENVIRONMENT AND DESIGN,BUILT ENVIRONMENT AND DESIGN
3304,Urban and regional planning,BUILT ENVIRONMENT AND DESIGN,BUILT ENVIRONMENT AND DESIGN
3399,Other built environment and design,BUILT ENVIRONMENT AND DESIGN,BUILT ENVIRONMENT AND DESIGN
3401,Analytical chemistry,CHEMICAL SCIENCES,CHEMISTRY
3402,Inorganic chemistry,CHEMICAL SCIENCES,CHEMISTRY
3403,Macromolecular and materials chemistry,CHEMICAL SCIENCES,CHEMISTRY
3404,Medicinal and biomolecular chemistry,CHEMICAL SCIENCES,CHEMISTRY
3405,Organic chemistry,CHEMICAL SCIENCES,CHEMISTRY
3406,Physical chemistry,CHEMICAL SCIENCES,CHEMISTRY
3407,Theoretical and computational chemistry,CHEMICAL SCIENCES,CHEMISTRY
3499,Other chemical sciences,CHEMICAL SCIENCES,CHEMISTRY
3501,"Accounting, auditing and accountability","COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3502,"Banking, finance and investment","COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3503,Business systems in context,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3504,Commercial services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3505,Human resources and industrial relations,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3506,Marketing,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3507,"Strategy, management and organisational behaviour","COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3508,Tourism,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
3509,"Transportation, logistics and supply chains","COMMERCE, MANAGEMENT, TOURISM AND SERVICES","COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
